,actual,prediction,ID,name,player_id,team_name_alt,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent,Season,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm
0,-1.0,0.2434595363640475,0,"Verlander, Justin",434378,HOU,4-Seam Fastball,-1.0,-3,285,50.9,84,0.3756345177664975,0.35814296241709653,0.40696117804551535,0.3244929797191888,0.2581521739130435,0.4329004329004329,0.4241758241758242,0.3893203883495146,0.4518900343642611,0.52625,2024,0.756838905775076,285,0.13233418367346936,0.4747680130575541,0.508928571,0.07339449541284404,0.92914653784219,0.6259842519685039,0.6842105263157895,0.3849765258215962,0.2997416020671835,0.6638655462184875,0.6932515337423313,0.790575916,0.764397906,0.756838905775076,0.6470812666921023,0.7868852459016393,0.8931555964917994,0.9642719356375526,0.5905118366881453,0.5660912501370321,0.9565217391304348,0.8723404255319149,0.8723404255319149,0.4097800443117087,0.014046959173323291,0.5789473684210527,0.9090909090909091,0.33333333333333337,0.9090909090909091,0.33333333333333337,0.0,0.0
1,1.1,1.0377581355194083,3,"Jansen, Kenley",445276,BOS,Cutter,1.1,3,243,91.0,61,0.34517766497461927,0.16507000736919678,0.323962516733601,0.42121684867394693,0.35597826086956524,0.461038961038961,0.44175824175824185,0.3029126213592233,0.4467353951890034,0.53625,2024,0.7021276595744679,243,0.038903061224489784,0.13966007657372564,0.91011236,0.11926605504587157,0.789049919484702,0.8503937007874016,0.9157894736842105,0.30516431924882625,0.5322997416020672,0.7226890756302522,0.7389849414389291,1.0,0.974842767,0.6990881458966567,0.720717283479588,0.6844262295081968,0.7303696220532238,0.7595222896004719,0.4880671362592358,0.4342512899790328,0.7608695652173914,0.9574468085106383,1.0,0.4967546578078503,0.15933666655240375,0.4736842105263158,0.9999999999999999,0.33333333333333337,0.9999999999999999,1.0,0.0,0.6666666666666667
2,3.3,1.6061936719928447,4,"Chavez, Jesse",445926,ATL,Cutter,3.3,6,179,57.9,45,0.29610829103214886,0.20265291083271925,0.2583668005354752,0.2698907956318253,0.15081521739130435,0.23593073593073594,0.4175824175824176,0.33786407766990295,0.39518900343642605,0.38250000000000006,2024,0.5896656534954405,179,0.052295918367346934,0.2198239670286431,0.579288026,0.2232415902140673,0.7085346215780999,0.7795275590551181,0.7789473684210526,0.06103286384976526,0.4909560723514212,0.46218487394957986,0.5677635248187395,0.974842767,0.119496855,0.5927051671732522,0.576879053796261,0.45491803278688525,0.5350175467774915,0.6563240070337754,0.6017429799194902,0.5126838810350804,0.6521739130434783,0.851063829787234,0.9148936170212766,0.5789371385174171,0.29662119239291934,0.4210526315789474,0.9090909090909091,0.0,0.9090909090909091,1.0,0.0,1.0
3,-1.1,-1.1498168764042802,6,"Morton, Charlie",450203,ATL,4-Seam Fastball,-1.1,-3,240,32.9,64,0.47038917089678517,0.39572586588061903,0.4792503346720214,0.2823712948517941,0.33967391304347827,0.3939393939393939,0.49230769230769234,0.370873786407767,0.486254295532646,0.52625,2024,0.7598784194528876,239,0.18654336734693874,0.7451001984846494,0.32739726,0.1926605504587156,0.893719806763285,0.40551181102362205,0.2842105263157895,0.6431924882629108,0.24289405684754525,0.8067226890756303,0.7110987172336866,0.031413613,0.979057592,0.7598784194528876,0.5932850057230065,0.6557377049180328,0.77976582771147,0.898350792466781,0.685871269277193,0.6478778083831581,0.8913043478260869,0.7659574468085106,0.7872340425531915,0.4366112200514105,0.05886801114650501,0.5263157894736842,0.8181818181818182,0.0,0.8181818181818182,0.33333333333333337,0.0,0.33333333333333337
4,1.3,1.1491070601072217,8,"Morton, Charlie",450203,ATL,Curveball,1.3,4,293,40.1,83,0.3197969543147208,0.16949152542372883,0.26639892904953144,0.4165366614664587,0.39266304347826086,0.4372294372294372,0.34065934065934067,0.19029126213592235,0.2938144329896907,0.325,2024,0.37689969604863194,293,0.18654336734693874,0.7451001984846494,0.401369863,0.6605504587155964,0.33011272141706927,0.5708661417322834,0.5789473684210527,0.6150234741784038,0.7286821705426356,0.680672268907563,0.6865588399330731,0.421052632,0.763157895,0.37689969604863194,0.9023273559710034,0.6721311475409836,0.6638660900666195,0.6600894541786078,0.16768754596340724,0.1377602433268012,0.6630434782608696,0.25531914893617025,0.2765957446808511,0.4637827591248038,0.10425763465069798,0.5263157894736842,0.2727272727272727,0.0,0.2727272727272727,0.33333333333333337,0.0,0.33333333333333337
5,-0.3,0.15457211699060647,12,"Martin, Chris",455119,BOS,Cutter,-0.3,0,116,43.3,25,0.494077834179357,0.337509211495947,0.39759036144578314,0.4664586583463339,0.16304347826086957,0.30952380952380953,0.531868131868132,0.32524271844660196,0.3934707903780068,0.35750000000000004,2024,0.7051671732522795,116,0.0392219387755102,0.14080378964860313,0.432835821,0.23241590214067281,0.782608695652174,0.5748031496062992,0.5789473684210527,0.0704225352112676,0.5142118863049095,0.5420168067226891,0.6542108198549916,0.540880503,0.377358491,0.7051671732522795,0.5642884395268981,0.3155737704918033,0.36538731078450126,0.5735131035031217,0.5613699880580939,0.4654119590252643,0.576086956521739,0.8936170212765958,0.9787234042553191,0.6008752785643621,0.3332685061289362,0.368421052631579,0.9090909090909091,0.6666666666666667,0.9999999999999999,0.6666666666666667,0.5,0.0
6,-1.0,-0.8742851486847232,13,"Wilson, Justin",458677,CIN,4-Seam Fastball,-1.0,-1,102,54.5,26,0.46192893401015234,0.4355195283714075,0.46318607764390896,0.36817472698907955,0.5230978260869565,0.6190476190476191,0.36703296703296706,0.38737864077669903,0.429553264604811,0.6725,2024,0.790273556231003,102,0.013392857142857137,0.052713547157132584,0.545454545,0.0764525993883792,0.9194847020933977,0.6417322834645669,0.7052631578947368,0.29107981220657275,0.268733850129199,0.5294117647058824,0.6653653095370887,0.848167539,0.319371728,0.790273556231003,0.5799313239221672,0.7131147540983607,0.8511944741550715,0.9586001398557833,0.43826921139153197,0.4420084767164275,0.9565217391304348,0.0,1.0,0.34985270565029375,0.08592810431054418,0.6315789473684211,0.0,0.0,0.9999999999999999,1.0,0.0,0.33333333333333337
7,1.9,0.1635271942448182,14,"Lynn, Lance",458681,STL,4-Seam Fastball,1.9,6,309,38.0,66,0.40947546531302875,0.32056005895357403,0.3828647925033467,0.41965678627145087,0.3505434782608696,0.4329004329004329,0.49230769230769234,0.38834951456310685,0.429553264604811,0.5837500000000001,2024,0.7051671732522795,307,0.21332908163265304,0.7850792761527224,0.377149877,0.172782874617737,0.8808373590982286,0.4881889763779527,0.43157894736842106,0.20657276995305165,0.2609819121447029,0.4453781512605043,0.6508644729503625,0.162303665,0.12565445,0.7051671732522795,0.6714994276993514,0.5,0.5601348052986322,0.7174135286151221,0.6043360875770228,0.5494392184875884,0.7173913043478262,0.851063829787234,0.8936170212765958,0.48873877037924723,0.1459462542002172,0.4736842105263158,0.9090909090909091,0.0,0.9090909090909091,0.6666666666666667,0.0,0.6666666666666667
8,-0.9,0.25435481533507964,15,"Lynn, Lance",458681,STL,Cutter,-0.9,-2,230,28.3,59,0.45516074450084604,0.28371407516580693,0.3748326639892905,0.41497659906396256,0.3220108695652174,0.45238095238095233,0.4505494505494506,0.37961165048543694,0.43127147766323026,0.48125,2024,0.5805471124620061,230,0.21332908163265304,0.7850792761527224,0.282555283,0.33792048929663615,0.6972624798711755,0.515748031496063,0.5157894736842106,0.0704225352112676,0.5271317829457365,0.5210084033613446,0.6480758505298383,0.27672956,0.283018868,0.5835866261398173,0.7394124380007632,0.1680327868852459,0.175612445011658,0.2758893954307832,0.5192410478887618,0.4396336571403936,0.2826086956521739,0.9361702127659576,1.0,0.5617566192568295,0.26792140844846773,0.4210526315789474,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,1.0
9,-0.4,-0.9425993132026544,16,"Lynn, Lance",458681,STL,Sinker,-0.4,-1,164,20.1,45,0.4483925549915398,0.3898305084745763,0.49129852744310565,0.19344773790951642,0.12092391304347828,0.2987012987012987,0.5978021978021978,0.4669902912621359,0.6065292096219931,0.3225,2024,0.6778115501519757,164,0.21332908163265304,0.7850792761527224,0.201474201,0.2614678899082569,0.7455716586151369,0.5590551181102362,0.5578947368421053,0.6150234741784038,0.06201550387596905,0.4873949579831933,0.6659230340211936,0.498084291,0.107279693,0.6747720364741641,0.6444105303319344,0.5860655737704918,0.6585650229746323,0.6615777549585182,0.6056366967977225,0.66728214272793,0.6630434782608696,0.851063829787234,0.7659574468085106,0.18173761313166417,0.36676169029850963,0.7894736842105263,0.9090909090909091,0.0,0.8181818181818182,0.0,0.5,0.0
